User,Docstring
"generate docstring for def drawdown(return_series: pd.Series):
    wealth_index = 1000*(1+return_series).cumprod()
    previous_peaks = wealth_index.cummax()
    drawdowns = (wealth_index - previous_peaks)/previous_peaks
    return pd.DataFrame({""Wealth"": wealth_index,  
                         ""Previous Peak"": previous_peaks, 
                         ""Drawdown"": drawdowns})","""""""Compute drawdowns from a returns time series.

Args:
    return_series: Returns series.
    
Returns:
    DataFrame with columns for wealth index, previous peaks, and drawdowns.
"""""""
"generate docstring for def semideviation(r):
    if isinstance(r, pd.Series):
        is_negative = r < 0
        return r[is_negative].std(ddof=0)
    elif isinstance(r, pd.DataFrame):
        return r.aggregate(semideviation)
    else:
        raise TypeError(""Expected r to be a Series or DataFrame"")","""""""Compute semideviation (negative semideviation) of a returns series.

Args:
    r: Returns series.   
    
Returns:
    Semideviation as float.
"""""""
"generate docstring for def var_historic(r, level=5):
    if isinstance(r, pd.DataFrame):
        return r.aggregate(var_historic, level=level)
    elif isinstance(r, pd.Series):
        return -np.percentile(r, level)
    else:
        raise TypeError(""Expected r to be a Series or DataFrame"")","""""""Compute Value at Risk (VaR) from a returns series at given confidence level.

Args:
    r: Returns series.
    level: Confidence level, e.g. 95%.
    
Returns:
    VaR as a float.
"""""""
"generate docstring for def cvar_historic(r, level=5):
    if isinstance(r, pd.Series):
        is_beyond = r <= -var_historic(r, level=level)
        return -r[is_beyond].mean() 
    elif isinstance(r, pd.DataFrame):
        return r.aggregate(cvar_historic, level=level)
    else:
        raise TypeError(""Expected r to be a Series or DataFrame"")","""""""Compute Conditional VaR (CVaR) from a returns series at given confidence level.

Args:
    r: Returns series.
    level: Confidence level, e.g. 95%.

Returns: 
    CVaR as a float. 
"""""""
"generate docstring for def var_gaussian(r, level=5, modified=False):
    z = norm.ppf(level/100)  
    if modified:    
        s = skewness(r)
        k = kurtosis(r)
        z = (z + 
                (z**2 - 1)*s/6 + 
                (z**3 -3*z)*(k-3)/24 -                
                (2*z**3 - 5*z)*(s**2)/36
           )
    return -(r.mean() + z*r.std(ddof=0))","""""""Compute parametric Gaussian VaR from a returns series.

Args:  
    r: Returns series.
    level: Confidence level, e.g. 95%.
    modified: Whether to apply Cornish-Fisher modification.
    
Returns:
    Parametric Gaussian VaR as a float. 
"""""""
"generate docstring for def portfolio_return(weights, returns):
    return weights.dot(returns)","""""""Compute portfolio return from a set of weighted constituent returns.

Args:
    weights: Portfolio weights.
    returns: Constituent returns.
    
Returns:
    Portfolio return.
"""""""
"generate docstring for def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n-i-1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
    return arr
","""""""
    Sorts an array using the bubble sort algorithm.

    Args:
        arr (list): List of elements to be sorted.

    Returns:
        list: Sorted list.
    """""""
"generate docstring for def to_lowercase(string):
    return string.lower()
","""""""
    Converts a string to lowercase.

    Args:
        string (str): String to be converted.

    Returns:
        str: String in lowercase.
    """""""
"generate docstring for def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)
","""""""
    Calculates factorial of a number.

    Args:
        n (int): Number to calculate factorial for.

    Returns:
        int: Factorial of n.
    """""""
"generate docstring for def linear_search(arr, x):
    for i in range(len(arr)):
        if arr[i] == x:
            return i
    return -1
","""""""
    Performs linear search to find an element in a list.

    Args:
        arr (list): List of elements.
        x (any): Element to search for.

    Returns:
        int: Index of the element if found, else -1.
    """""""
"generate docstring for 
function bubbleSort(arr) {
    let n = arr.length;
    for (let i = 0; i < n; i++) {
        for (let j = 0; j < n - i - 1; j++) {
            if (arr[j] > arr[j + 1]) {
                let temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }
    return arr;
}
        ","/**
 * Sorts an array using the bubble sort algorithm.
 *
 * @param {Array} arr - The array to be sorted.
 * @returns {Array} - The sorted array.
 */
        "
"generate docstring for
function toLowerCase(string) {
    return string.toLowerCase();
}
        ","
/**
 * Converts a string to lowercase.
 *
 * @param {string} string - The string to be converted.
 * @returns {string} - The string in lowercase.
 */
        "
"generate docstring for
function factorial(n) {
    if (n === 0) {
        return 1;
    } else {
        return n * factorial(n - 1);
    }
}
        ","
/**
 * Calculates factorial of a number.
 *
 * @param {number} n - The number to calculate factorial for.
 * @returns {number} - The factorial of n.
 */
        "
"generate docstring for
function linearSearch(arr, x) {
    for (let i = 0; i < arr.length; i++) {
        if (arr[i] === x) {
            return i;
        }
    }
    return -1;
}
        ","
/**
 * Performs linear search to find an element in an array.
 *
 * @param {Array} arr - The array of elements.
 * @param {*} x - The element to search for.
 * @returns {number} - The index of the element if found, else -1.
 */
        "
"generate docstring for function add(a, b) {
  return a + b;
}","/**
 * Adds two numbers together.
 * @param {number} a The first number.
 * @param {number} b The second number.
 * @returns {number} The sum of the two numbers.
 */"
"generate docstring for function subtract(a, b) {
  return a - b;
}","/**
 * Subtracts two numbers.
 * @param {number} a The first number. 
 * @param {number} b The number to subtract from a.
 * @returns {number} The result of the subtraction.
 */"
"generate docstring for function multiply(a, b) {
  return a * b;
}","/**
 * Multiplies two numbers together.
 * @param {number} a The first number.
 * @param {number} b The second number.
 * @returns {number} The product of the numbers.
 */"
"generate docstring for function divide(a, b) {
  return a / b; 
}","/**
 * Divides two numbers.
 * @param {number} a The dividend. 
 * @param {number} b The divisor.
 * @returns {number} The quotient of the division. 
 */"
"generate docstring for function increment(n) {
  return n + 1;
}","/**
 * Increments a number by 1.
 * @param {number} n The number to increment.
 * @returns {number} n + 1
 */"
"generate docstring for function decrement(n) {
  return n - 1;
}","/** 
 * Decrements a number by 1.
 * @param {number} n The number to decrement.
 * @returns {number} n - 1
 */"
"generate docstring for function pow(base, exponent) {
  return base ** exponent;
}","/**
 * Calculates the exponentiation of a base number raised to a power.
 * @param {number} base The base number. 
 * @param {number} exponent The power to raise the base to.
 * @returns {number} base raised to the power exponent.
 */"
"generate docstring for function square(n) {
  return n * n;
}","/**
 * Squares a number by multiplying it by itself.
 * @param {number} n The number to square.
 * @returns {number} n * n
 */"
"generate docstring for function cube(n) {
  return n * n * n; 
}","/**
 * Cubes a number by raising it to the 3rd power.
 * @param {number} n The number to cube.
 * @returns {number} n * n * n
 */"
"generate docstring for function factorial(n) {
  if (n === 0) return 1;
  return n * factorial(n - 1);
}","/**
 * Calculates the factorial of an integer n.
 * @param {number} n The number to take the factorial of.
 * @returns {number} The factorial of n.  
 */"
"generate docstring for function fibonacci(n) {
  if (n < 2) return n;
  return fibonacci(n - 1) + fibonacci(n - 2);
}","/**
 * Calculates the nth Fibonacci number recursively.
 * @param {number} n The index of the Fibonacci number to compute. 
 * @returns {number} The nth Fibonacci number.
 */"
"generate docstring for function isEven(n) {
  return n % 2 === 0;
}","/**
 * Checks if a number is even. 
 * @param {number} n The number to check.
 * @returns {boolean} True if n is even, false if n is odd.
 */"
"generate docstring for function isOdd(n) {
  return Math.abs(n % 2) === 1;
}","/**
 * Checks if a number is odd.
 * @param {number} n The number to check.
 * @returns {boolean} True if n is odd, false if n is even. 
 */  "
"generate docstring for function isPrime(n) {
  for(let i = 2; i < n; i++) {
    if(n % i === 0) return false;
  }
  return n > 1;
}","/**
 * Checks if a number is prime.
 * @param {number} n The number to check.
 * @returns {boolean} True if n is prime, false otherwise.
 */"
"generate docstring for function reverseString(str) {
  return str.split('').reverse().join('');
}","/** 
 * Reverses the characters in a string.
 * @param {string} str The string to reverse.
 * @returns {string} The reversed string.
 */"
"generate docstring for function capitalize(str) {
  return str[0].toUpperCase() + str.slice(1);
}","/**
 * Capitalizes the first letter of a string.
 * @param {string} str The input string.
 * @returns {string} The capitalized string.
 */"
"generate docstring for function upperCase(str) {
  return str.toUpperCase();
}","/**
 * Converts a string to upper case. 
 * @param {string} str The input string. 
 * @returns {string} The upper case string.
 */"
"generate docstring for function lowerCase(str) {
  return str.toLowerCase();
}","/**
 * Converts a string to lower case. 
 * @param {string} str The input string.
 * @returns {string} The lower case string. 
 */"
"generate docstring for function repeatString(str, n) {
  return str.repeat(n);
}","/**
 * Repeats a string n times.
 * @param {string} str The string to repeat.
 * @param {number} n The number of times to repeat.
 * @returns {string} The repeated string.
 */ "
"generate docstring for function truncateString(str, n) {
  return str.slice(0, n);
}","/**
 * Truncates a string after n characters.
 * @param {string} str The string to truncate.
 * @param {number} n Number of characters where string gets truncated.
 * @returns {string} The truncated string.
 */"
"generate docstring for function camelCase(str) {
  
}","/**
 * Converts a string to camel case.  
 * @param {string} str The input string.
 * @returns {string} The camel cased string.
 */"
"generate docstring for function reverseArray(arr) {
  return arr.slice().reverse();
}","/**
 * Reverses an array in place.
 * @param {Array} arr The array to reverse.
 * @returns {Array} The reversed array.
 */"
"generate docstring for function shuffleArray(arr) {
  let i = arr.length;
  while (i--) {
    const ri = Math.floor(Math.random() * (i+1));
    [arr[i], arr[ri]] = [arr[ri], arr[i]];
  }
  return arr;  
}","/** 
 * Shuffles an array in place.
 * @param {Array} arr The array to shuffle.
 * @returns {Array} The shuffled array.
 */"
"generate docstring for function chunkArray(arr, size) {
  const chunked = [];
  let i = 0;while (i < arr.length) {
    chunked.push(arr.slice(i, i + size));
    i += size;
  }""
""  return chunked;
}","/**
 * Splits an array into chunks of size n. 
 * @param {Array} arr The array to chunk.
 * @param {number} size The chunk size.
 * @returns {Array} The chunked array.
 */"
"generate docstring for function compactArray(arr) {
  return arr.filter(Boolean);
}","/**
 * Removes falsy values from an array.
 * @param {Array} arr The array to compact.
 * @returns {Array} Array with falsy values removed.
 */"
"generate docstring for function intersection(a, b) {
  return a.filter(x => b.includes(x));
} ","/**
 * Computes the intersection of two arrays.
 * @param {Array} a First array.
 * @param {Array} b Second array.  
 * @returns {Array} Intersection of the two arrays.
 */"
"generate docstring for function difference(a, b) {
  return a.filter(x => !b.includes(x));
}","/** 
 * Computes the difference of two arrays.
 * @param {Array} a First array.
 * @param {Array} b Second array.
 * @returns {Array} Values from a not in b. 
 */"
"generate docstring for function union(a, b) {
  return [...new Set([...a, ...b])];
}","/**
 * Computes the union of two arrays.
 * @param {Array} a First array 
 * @param {Array} b Second array
 * @returns {Array} Unique values from both arrays.
 */"
"generate docstring for function objectValues(obj) {
  return Object.values(obj);
}","/**
 * Gets all object values.
 * @param {Object} obj The object. 
 * @returns {Array} The object values.
 */ "
"generate docstring for function objectKeys(obj) {
  return Object.keys(obj);
}","/**
 * Gets all object keys. 
 * @param {Object} obj The object.
 * @returns {Array} The object keys.
 */"
"generate docstring for function pick(obj, keys) {
  return keys.map(k => k in obj ? {[k]: obj[k]} : {})
            .reduce((res, o) => Object.assign(res, o), {});
}","/**
 * Picks properties specified by keys from an object.
 * @param {Object} obj The object to pick from.
 * @param {string[]} keys The keys to pick.
 * @returns {Object} A new object with the picked keys.
 */"
"generate docstring for function omit(obj, keys) {
  const copy = {...obj};
  keys.forEach(k => delete copy[k]);
  return copy;
}","/**
 * Omits properties specified by keys from an object.
 * @param {Object} obj The source object.
 * @param {string[]} keys The keys to omit.
 * @returns {Object} A new object without the omitted keys.
 */"
"generate docstring for function mapValues(obj, fn) {
  return Object.fromEntries(Object.entries(obj).map(([k, v]) => [k, fn(v)]));
}","/**
 * Maps values of an object via function.
 * @param {Object} obj The source object. 
 * @param {Function} fn Mapping function.
 * @returns {Object} A new object with mapped values.
 */"
"generate docstring for function deepCopy(obj) {
  return JSON.parse(JSON.stringify(obj));
}","/**
 * Deep copies an object.
 * @param {Object} obj The object to copy.
 * @returns {Object} A deep copy of the object.
 */ "
"generate docstring for function objectEquals(a, b) {
  return JSON.stringify(a) === JSON.stringify(b);  
}","/**
 * Checks if two objects have the same keys and values.
 * @param {Object} a First object.
 * @param {Object} b Second object.
 * @returns {boolean} True if equal, false otherwise.
 */"
"generate docstring for function bind(fn, context, ...args) {
  return fn.bind(context, ...args);
}","/**
 * Binds a function to a context and arguments.
 * @param {Function} fn The function to bind.
 * @param {Object} context The context to bind to.
 * @param {...*} args Arguments to prepend. 
 * @returns {Function} The bound function.
 */"
"generate docstring for function once(fn) {
  let done = false;
  return function(...args) {
    if (!done) {
      done = true;
      fn.apply(this, args);
    }
  }
}","/**
 * Creates a function that can only be called once.
 * @param {Function} fn The function to wrap.
 * @returns {Function} A function that can be called only once.
 */"
"generate docstring for function after(n, fn) {
  let counter = 0;
  return function(...args) {
    counter++;
    if (counter === n) fn.apply(this, args);
  }
}","/**
 * Creates a function that invokes fn only after n calls.
 * @param {number} n Number of calls before fn is invoked. 
 * @param {Function} fn Function to restrict.
 * @returns {Function} Restricted function.
 */"
"generate docstring for function memoize(fn) {
  const cache = new Map();
  return function(...args) {
    const key = JSON.stringify(args);
    if (cache.has(key)) return cache.get(key);
    const res = fn.apply(this, args);
    cache.set(key, res);
    return res;
  }
}","/**
 * Caches results of a function.
 * @param {Function} fn The function to cache.
 * @returns {Function} Memoized function.
 */"
"generate docstring for function pipe(...fns) {
  return function(x) {
    return fns.reduce((v, fn) => fn(v), x);
  }
}","/**
 * Composes functions from right to left.
 * @param {...Function} fns The functions to compose.
 * @returns {Function} Composed function.
 */ "
"generate docstring for function compose(...fns) {
  return function(x) {
    return fns.reduceRight((v, fn) => fn(v), x);
  }
}","/** 
 * Composes functions from left to right.
 * @param {...Function} fns The functions to compose.
 * @returns {Function} Composed function.
 */"
"generate docstring for function sleep(ms) {
  return new Promise(resolve => setTimeout(resolve, ms));
}","/**
 * Resolves after ms milliseconds. 
 * @param {number} ms Milliseconds to wait.
 * @returns {Promise} Promise that resolves after ms.
 */"
"generate docstring for function debounce(fn, ms) {
  let timeout;
  return function(...args) {
    clearTimeout(timeout);
    timeout = setTimeout(() => fn.apply(this, args), ms);
  }
}","/**
 * Creates a debounced function.
 * @param {Function} fn The function to debounce. 
 * @param {number} ms The debounce delay in ms.
 * @returns {Function} The debounced function.
 */"
"generate docstring for function throttle(fn, ms) {
  let waiting = false;
  return function(...args) {
    if (waiting) return;
    waiting = true;
    fn.apply(this, args);
    setTimeout(() => waiting = false, ms);
  }  
}","/**
 * Creates a throttled function.
 * @param {Function} fn The function to throttle.
 * @param {number} ms The throttle delay in ms. 
 * @returns {Function} Throttled function. 
 */"
"generate docstring for function randomInt(min, max) {
  return Math.floor(Math.random() * (max - min + 1)) + min;
}","/**
 * Generates a random integer between min and max.
 * @param {number} min The minimum value.
 * @param {number} max The maximum value.
 * @returns {number} Random integer between min and max.
 */"
"generate docstring for function uuid() {
  return ([1e7]+-1e3+-4e3+-8e3+-1e11).replace(/[018]/g, c =>
    (c ^ crypto.getRandomValues(new Uint8Array(1))[0] & 15 >> c / 4).toString(16)
  );
}","/**
 * Generates a UUID.
 * @returns {string} UUID
 */"
"generate docstring for function logger(namespace) {
  return function(message) {
    console.log(`[${namespace}] ${message}`); 
  }
}","/**
 * Creates a logger function.
 * @param {string} namespace The logging namespace. 
 * @returns {Function} Logger function.
 */"
"generate docstring for function times(n, fn) {
  Array.from({length: n}, (_, i) => fn(i));
}","/**
 * Invokes a function n times.
 * @param {number} n Number of invocations.
 * @param {Function} fn Function to invoke.
 */"
"generate docstring for function requireUncached(module) {
  delete require.cache[require.resolve(module)];
  return require(module);  
}
","/**
 * Requires a module bypassing the cache. 
 * @param {string} module Module to require.
 * @returns Required module.
 */"
"generate docsting for double sum(std::vector<double> & const values) {
    ...
}","/**
 * Sum numbers in a vector.
 *
 * @param values Container whose values are summed.
 * @return sum of `values`, or 0.0 if `values` is empty.
 */"
"generate docstring for template <typename T, typename ComparatorT = std::less<T>>
class LookupTable
{
    ...
}","/**
 * Storage for arbitrary data with log(N) lookup.
 *
 * ...
 *
 * @tparam T the type of data stored in the table
 * @tparam ComparatorT callable defining a strict weak ordering for objects
 *     of type `T`. Its `operator()` must accept two `T` and return `true`
 *     if and only if the first argument comes before the second. It must
 *     not throw exceptions.
 */"
