File,Function,Docstring
pandas/_config/config.py,"def _warn_if_deprecated(key: str) -> bool:
    d = _get_deprecated_option(key)
    if d:
        if d.msg:
            warnings.warn(d.msg, FutureWarning, stacklevel=find_stack_level())
        else:
            msg = f""'{key}' is deprecated""
            if d.removal_ver:
                msg += f' and will be removed in {d.removal_ver}'
            if d.rkey:
                msg += f"", please use '{d.rkey}' instead.""
            else:
                msg += ', please refrain from using it.'
            warnings.warn(msg, FutureWarning, stacklevel=find_stack_level())
        return True
    return False","""""""Checks if `key` is a deprecated option and if so, prints a warning.

Returns
-------
bool - True if `key` is deprecated, False otherwise."""""""
pandas/_config/config.py,"def _build_option_description(k: str) -> str:
    o = _get_registered_option(k)
    d = _get_deprecated_option(k)
    s = f'{k} '
    if o.doc:
        s += '\n'.join(o.doc.strip().split('\n'))
    else:
        s += 'No description available.'
    if o:
        s += f'\n    [default: {o.defval}] [currently: {_get_option(k, True)}]'
    if d:
        rkey = d.rkey or ''
        s += '\n    (Deprecated'
        s += f', use `{rkey}` instead.'
        s += ')'
    return s","""""""Builds a formatted description of a registered option and prints it"""""""
pandas/_config/config.py,"def pp_options_list(keys: Iterable[str], width: int=80, _print: bool=False):
    from itertools import groupby
    from textwrap import wrap

    def pp(name: str, ks: Iterable[str]) -> list[str]:
        pfx = '- ' + name + '.[' if name else ''
        ls = wrap(', '.join(ks), width, initial_indent=pfx, subsequent_indent='  ', break_long_words=False)
        if ls and ls[-1] and name:
            ls[-1] = ls[-1] + ']'
        return ls
    ls: list[str] = []
    singles = [x for x in sorted(keys) if x.find('.') < 0]
    if singles:
        ls += pp('', singles)
    keys = [x for x in keys if x.find('.') >= 0]
    for (k, g) in groupby(sorted(keys), lambda x: x[:x.rfind('.')]):
        ks = [x[len(k) + 1:] for x in list(g)]
        ls += pp(k, ks)
    s = '\n'.join(ls)
    if _print:
        print(s)
    else:
        return s","""""""Builds a concise listing of available options, grouped by prefix"""""""
pandas/_config/config.py,"@contextmanager
def config_prefix(prefix: str) -> Generator[None, None, None]:
    global register_option, get_option, set_option

    def wrap(func: F) -> F:

        def inner(key: str, *args, **kwds):
            pkey = f'{prefix}.{key}'
            return func(pkey, *args, **kwds)
        return cast(F, inner)
    _register_option = register_option
    _get_option = get_option
    _set_option = set_option
    set_option = wrap(set_option)
    get_option = wrap(get_option)
    register_option = wrap(register_option)
    try:
        yield
    finally:
        set_option = _set_option
        get_option = _get_option
        register_option = _register_option","""""""contextmanager for multiple invocations of API with a common prefix

supported API functions: (register / get / set )__option

Warning: This is not thread - safe, and won't work properly if you import
the API functions into your module using the ""from x import y"" construct.

Example
-------
import pandas._config.config as cf
with cf.config_prefix(""display.font""):
    cf.register_option(""color"", ""red"")
    cf.register_option(""size"", "" 5 pt"")
    cf.set_option(size, "" 6 pt"")
    cf.get_option(size)
    ...

    etc'

will register options ""display.font.color"", ""display.font.size"", set the
value of ""display.font.size""... and so on."""""""
pandas/_config/config.py,"def is_type_factory(_type: type[Any]) -> Callable[[Any], None]:

    def inner(x) -> None:
        if type(x) != _type:
            raise ValueError(f""Value must have type '{_type}'"")
    return inner","""""""Parameters
----------
`_type` - a type to be compared against (e.g. type(x) == `_type`)

Returns
-------
validator - a function of a single argument x , which raises
            ValueError if type(x) is not equal to `_type`"""""""
pandas/_config/config.py,"def is_instance_factory(_type) -> Callable[[Any], None]:
    if isinstance(_type, (tuple, list)):
        _type = tuple(_type)
        type_repr = '|'.join(map(str, _type))
    else:
        type_repr = f""'{_type}'""

    def inner(x) -> None:
        if not isinstance(x, _type):
            raise ValueError(f'Value must be an instance of {type_repr}')
    return inner","""""""Parameters
----------
`_type` - the type to be checked against

Returns
-------
validator - a function of a single argument x , which raises
            ValueError if x is not an instance of `_type`"""""""
pandas/_config/config.py,"def is_nonnegative_int(value: object) -> None:
    if value is None:
        return
    elif isinstance(value, int):
        if value >= 0:
            return
    msg = 'Value must be a nonnegative integer or None'
    raise ValueError(msg)","""""""Verify that value is None or a positive int.

Parameters
----------
value : None or int
        The `value` to be checked.

Raises
------
ValueError
    When the value is not None or is a negative integer"""""""
pandas/_config/config.py,"def is_callable(obj) -> bool:
    if not callable(obj):
        raise ValueError('Value must be a callable')
    return True","""""""Parameters
----------
`obj` - the object to be checked

Returns
-------
validator - returns True if object is callable
    raises ValueError otherwise."""""""
pandas/_config/display.py,"def detect_console_encoding() -> str:
    global _initial_defencoding
    encoding = None
    try:
        encoding = sys.stdout.encoding or sys.stdin.encoding
    except (AttributeError, OSError):
        pass
    if not encoding or 'ascii' in encoding.lower():
        try:
            encoding = locale.getpreferredencoding()
        except locale.Error:
            pass
    if not encoding or 'ascii' in encoding.lower():
        encoding = sys.getdefaultencoding()
    if not _initial_defencoding:
        _initial_defencoding = sys.getdefaultencoding()
    return encoding","""""""Try to find the most capable encoding supported by the console.
slightly modified from the way IPython handles the same issue."""""""
pandas/_config/localization.py,"@contextmanager
def set_locale(new_locale: str | tuple[str, str], lc_var: int=locale.LC_ALL) -> Generator[str | tuple[str, str], None, None]:
    current_locale = locale.setlocale(lc_var)
    try:
        locale.setlocale(lc_var, new_locale)
        (normalized_code, normalized_encoding) = locale.getlocale()
        if normalized_code is not None and normalized_encoding is not None:
            yield f'{normalized_code}.{normalized_encoding}'
        else:
            yield new_locale
    finally:
        locale.setlocale(lc_var, current_locale)","""""""Context manager for temporarily setting a locale.

Parameters
----------
new_locale : str or tuple
    A string of the form <language_country>.<encoding>. For example to set
    the current locale to US English with a UTF8 encoding, you would pass
    ""en_US.UTF-8"".
lc_var : int, default `locale.LC_ALL`
    The category of the locale being set.

Notes
-----
This is useful when you want to run a particular block of code under a
particular locale, without globally setting the locale. This probably isn't
thread-safe."""""""
pandas/_config/localization.py,"def can_set_locale(lc: str, lc_var: int=locale.LC_ALL) -> bool:
    try:
        with set_locale(lc, lc_var=lc_var):
            pass
    except (ValueError, locale.Error):
        return False
    else:
        return True","""""""Check to see if we can set a locale, and subsequently get the locale,
without raising an Exception.

Parameters
----------
lc : str
    The locale to attempt to set.
lc_var : int, default `locale.LC_ALL`
    The category of the locale being set.

Returns
-------
bool
    Whether the passed locale can be set"""""""
pandas/_config/localization.py,"def _valid_locales(locales: list[str] | str, normalize: bool) -> list[str]:
    return [loc for loc in (locale.normalize(loc.strip()) if normalize else loc.strip() for loc in locales) if can_set_locale(loc)]","""""""Return a list of normalized locales that do not throw an ``Exception``
when set.

Parameters
----------
locales : str
    A string where each locale is separated by a newline.
normalize : bool
    Whether to call ``locale.normalize`` on each locale.

Returns
-------
valid_locales : list
    A list of valid locales."""""""
pandas/_config/localization.py,"def get_locales(prefix: str | None=None, normalize: bool=True) -> list[str]:
    if platform.system() in ('Linux', 'Darwin'):
        raw_locales = subprocess.check_output(['locale', '-a'])
    else:
        return []
    try:
        split_raw_locales = raw_locales.split(b'\n')
        out_locales = []
        for x in split_raw_locales:
            try:
                out_locales.append(str(x, encoding=options.display.encoding))
            except UnicodeError:
                out_locales.append(str(x, encoding='windows-1252'))
    except TypeError:
        pass
    if prefix is None:
        return _valid_locales(out_locales, normalize)
    pattern = re.compile(f'{prefix}.*')
    found = pattern.findall('\n'.join(out_locales))
    return _valid_locales(found, normalize)","""""""Get all the locales that are available on the system.

Parameters
----------
prefix : str
    If not ``None`` then return only those locales with the prefix
    provided. For example to get all English language locales (those that
    start with ``""en""``), pass ``prefix=""en""``.
normalize : bool
    Call ``locale.normalize`` on the resulting list of available locales.
    If ``True``, only locales that can be set without throwing an
    ``Exception`` are returned.

Returns
-------
locales : list of strings
    A list of locale strings that can be set with ``locale.setlocale()``.
    For example::

        locale.setlocale(locale.LC_ALL, locale_string)

On error will return an empty list (no locale available, e.g. Windows)"""""""
pandas/_testing/__init__.py,"def reset_display_options() -> None:
    pd.reset_option('^display.', silent=True)","""""""Reset the display options for printing and representing objects."""""""
pandas/_testing/__init__.py,"def equalContents(arr1, arr2) -> bool:
    return frozenset(arr1) == frozenset(arr2)","""""""Checks if the set of unique elements of arr1 and arr2 are equivalent."""""""
pandas/_testing/__init__.py,"def box_expected(expected, box_cls, transpose: bool=True):
    if box_cls is pd.array:
        if isinstance(expected, RangeIndex):
            expected = NumpyExtensionArray(np.asarray(expected._values))
        else:
            expected = pd.array(expected, copy=False)
    elif box_cls is Index:
        expected = Index(expected)
    elif box_cls is Series:
        expected = Series(expected)
    elif box_cls is DataFrame:
        expected = Series(expected).to_frame()
        if transpose:
            expected = expected.T
            expected = pd.concat([expected] * 2, ignore_index=True)
    elif box_cls is np.ndarray or box_cls is np.array:
        expected = np.array(expected)
    elif box_cls is to_array:
        expected = to_array(expected)
    else:
        raise NotImplementedError(box_cls)
    return expected","""""""Helper function to wrap the expected output of a test in a given box_class.

Parameters
----------
expected : np.ndarray, Index, Series
box_cls : {Index, Series, DataFrame}

Returns
-------
subclass of box_cls"""""""
pandas/_testing/__init__.py,"def to_array(obj):
    dtype = getattr(obj, 'dtype', None)
    if dtype is None:
        return np.asarray(obj)
    return extract_array(obj, extract_numpy=True)","""""""Similar to pd.array, but does not cast numpy dtypes to nullable dtypes."""""""
pandas/_testing/__init__.py,"def rands_array(nchars, size: int, dtype: NpDtype='O', replace: bool=True) -> np.ndarray:
    chars = np.array(list(string.ascii_letters + string.digits), dtype=(np.str_, 1))
    retval = np.random.default_rng(2).choice(chars, size=nchars * np.prod(size), replace=replace).view((np.str_, nchars)).reshape(size)
    return retval.astype(dtype)","""""""Generate an array of byte strings."""""""
pandas/_testing/__init__.py,"def makeCategoricalIndex(k: int=10, n: int=3, name=None, **kwargs) -> CategoricalIndex:
    x = rands_array(nchars=4, size=n, replace=False)
    return CategoricalIndex(Categorical.from_codes(np.arange(k) % n, categories=x), name=name, **kwargs)","""""""make a length k index or n categories"""""""
pandas/_testing/__init__.py,"def makeIntervalIndex(k: int=10, name=None, **kwargs) -> IntervalIndex:
    x = np.linspace(0, 100, num=k + 1)
    return IntervalIndex.from_breaks(x, name=name, **kwargs)","""""""make a length k IntervalIndex"""""""
pandas/_testing/__init__.py,"def all_timeseries_index_generator(k: int=10) -> Iterable[Index]:
    make_index_funcs: list[Callable[..., Index]] = [makeDateIndex, makePeriodIndex, makeTimedeltaIndex]
    for make_index_func in make_index_funcs:
        yield make_index_func(k=k)","""""""Generator which can be iterated over to get instances of all the classes
which represent time-series.

Parameters
----------
k: length of each of the index instances"""""""
pandas/_testing/__init__.py,"def makeCustomIndex(nentries, nlevels, prefix: str='#', names: bool | str | list[str] | None=False, ndupe_l=None, idx_type=None) -> Index:
    if ndupe_l is None:
        ndupe_l = [1] * nlevels
    assert is_sequence(ndupe_l) and len(ndupe_l) <= nlevels
    assert names is None or names is False or names is True or (len(names) is nlevels)
    assert idx_type is None or (idx_type in ('i', 'f', 's', 'u', 'dt', 'p', 'td') and nlevels == 1)
    if names is True:
        names = [prefix + str(i) for i in range(nlevels)]
    if names is False:
        names = None
    if isinstance(names, str) and nlevels == 1:
        names = [names]
    idx_func_dict: dict[str, Callable[..., Index]] = {'i': makeIntIndex, 'f': makeFloatIndex, 's': makeStringIndex, 'dt': makeDateIndex, 'td': makeTimedeltaIndex, 'p': makePeriodIndex}
    idx_func = idx_func_dict.get(idx_type)
    if idx_func:
        idx = idx_func(nentries)
        if names:
            idx.name = names[0]
        return idx
    elif idx_type is not None:
        raise ValueError(f""{repr(idx_type)} is not a legal value for `idx_type`, use  'i'/'f'/'s'/'dt'/'p'/'td'."")
    if len(ndupe_l) < nlevels:
        ndupe_l.extend([1] * (nlevels - len(ndupe_l)))
    assert len(ndupe_l) == nlevels
    assert all((x > 0 for x in ndupe_l))
    list_of_lists = []
    for i in range(nlevels):

        def keyfunc(x):
            numeric_tuple = re.sub('[^\\d_]_?', '', x).split('_')
            return [int(num) for num in numeric_tuple]
        div_factor = nentries // ndupe_l[i] + 1
        cnt: Counter[str] = collections.Counter()
        for j in range(div_factor):
            label = f'{prefix}_l{i}_g{j}'
            cnt[label] = ndupe_l[i]
        result = sorted(cnt.elements(), key=keyfunc)[:nentries]
        list_of_lists.append(result)
    tuples = list(zip(*list_of_lists))
    if nentries == 1:
        name = None if names is None else names[0]
        index = Index(tuples[0], name=name)
    elif nlevels == 1:
        name = None if names is None else names[0]
        index = Index((x[0] for x in tuples), name=name)
    else:
        index = MultiIndex.from_tuples(tuples, names=names)
    return index","""""""Create an index/multindex with given dimensions, levels, names, etc'

nentries - number of entries in index
nlevels - number of levels (> 1 produces multindex)
prefix - a string prefix for labels
names - (Optional), bool or list of strings. if True will use default
   names, if false will use no names, if a list is given, the name of
   each level in the index will be taken from the list.
ndupe_l - (Optional), list of ints, the number of rows for which the
   label will repeated at the corresponding level, you can specify just
   the first few, the rest will use the default ndupe_l of 1.
   len(ndupe_l) <= nlevels.
idx_type - ""i""/""f""/""s""/""dt""/""p""/""td"".
   If idx_type is not None, `idx_nlevels` must be 1.
   ""i""/""f"" creates an integer/float index,
   ""s"" creates a string
   ""dt"" create a datetime index.
   ""td"" create a datetime index.

    if unspecified, string labels will be generated."""""""
pandas/_testing/__init__.py,"def makeCustomDataframe(nrows, ncols, c_idx_names: bool | list[str]=True, r_idx_names: bool | list[str]=True, c_idx_nlevels: int=1, r_idx_nlevels: int=1, data_gen_f=None, c_ndupe_l=None, r_ndupe_l=None, dtype=None, c_idx_type=None, r_idx_type=None) -> DataFrame:
    assert c_idx_nlevels > 0
    assert r_idx_nlevels > 0
    assert r_idx_type is None or (r_idx_type in ('i', 'f', 's', 'dt', 'p', 'td') and r_idx_nlevels == 1)
    assert c_idx_type is None or (c_idx_type in ('i', 'f', 's', 'dt', 'p', 'td') and c_idx_nlevels == 1)
    columns = makeCustomIndex(ncols, nlevels=c_idx_nlevels, prefix='C', names=c_idx_names, ndupe_l=c_ndupe_l, idx_type=c_idx_type)
    index = makeCustomIndex(nrows, nlevels=r_idx_nlevels, prefix='R', names=r_idx_names, ndupe_l=r_ndupe_l, idx_type=r_idx_type)
    if data_gen_f is None:
        data_gen_f = lambda r, c: f'R{r}C{c}'
    data = [[data_gen_f(r, c) for c in range(ncols)] for r in range(nrows)]
    return DataFrame(data, index, columns, dtype=dtype)","""""""Create a DataFrame using supplied parameters.

Parameters
----------
nrows,  ncols - number of data rows/cols
c_idx_names, r_idx_names  - False/True/list of strings,  yields No names ,
        default names or uses the provided names for the levels of the
        corresponding index. You can provide a single string when
        c_idx_nlevels ==1.
c_idx_nlevels - number of levels in columns index. > 1 will yield MultiIndex
r_idx_nlevels - number of levels in rows index. > 1 will yield MultiIndex
data_gen_f - a function f(row,col) which return the data value
        at that position, the default generator used yields values of the form
        ""RxCy"" based on position.
c_ndupe_l, r_ndupe_l - list of integers, determines the number
        of duplicates for each label at a given level of the corresponding
        index. The default `None` value produces a multiplicity of 1 across
        all levels, i.e. a unique index. Will accept a partial list of length
        N < idx_nlevels, for just the first N levels. If ndupe doesn't divide
        nrows/ncol, the last label might have lower multiplicity.
dtype - passed to the DataFrame constructor as is, in case you wish to
        have more control in conjunction with a custom `data_gen_f`
r_idx_type, c_idx_type -  ""i""/""f""/""s""/""dt""/""td"".
    If idx_type is not None, `idx_nlevels` must be 1.
    ""i""/""f"" creates an integer/float index,
    ""s"" creates a string index
    ""dt"" create a datetime index.
    ""td"" create a timedelta index.

        if unspecified, string labels will be generated.

Examples
--------
# 5 row, 3 columns, default names on both, single index on both axis
>> makeCustomDataframe(5,3)

# make the data a random int between 1 and 100
>> mkdf(5,3,data_gen_f=lambda r,c:randint(1,100))

# 2-level multiindex on rows with each label duplicated
# twice on first level, default names on both axis, single
# index on both axis
>> a=makeCustomDataframe(5,3,r_idx_nlevels=2,r_ndupe_l=[2])

# DatetimeIndex on row, index with unicode labels on columns
# no names on either axis
>> a=makeCustomDataframe(5,3,c_idx_names=False,r_idx_names=False,
                         r_idx_type=""dt"",c_idx_type=""u"")

# 4-level multindex on rows with names provided, 2-level multindex
# on columns with default labels and default names.
>> a=makeCustomDataframe(5,3,r_idx_nlevels=4,
                         r_idx_names=[""FEE"",""FIH"",""FOH"",""FUM""],
                         c_idx_nlevels=2)

>> a=mkdf(5,3,r_idx_nlevels=2,c_idx_nlevels=4)"""""""
pandas/_testing/__init__.py,"def _make_skipna_wrapper(alternative, skipna_alternative=None):
    if skipna_alternative:

        def skipna_wrapper(x):
            return skipna_alternative(x.values)
    else:

        def skipna_wrapper(x):
            nona = x.dropna()
            if len(nona) == 0:
                return np.nan
            return alternative(nona)
    return skipna_wrapper","""""""Create a function for calling on an array.

Parameters
----------
alternative : function
    The function to be called on the array with no NaNs.
    Only used when 'skipna_alternative' is None.
skipna_alternative : function
    The function to be called on the original array

Returns
-------
function"""""""
pandas/_testing/__init__.py,"def convert_rows_list_to_csv_str(rows_list: list[str]) -> str:
    sep = os.linesep
    return sep.join(rows_list) + sep","""""""Convert list of CSV rows to single CSV-formatted string for current OS.

This method is used for creating expected value of to_csv() method.

Parameters
----------
rows_list : List[str]
    Each element represents the row of csv.

Returns
-------
str
    Expected output of to_csv() in current OS."""""""
pandas/_testing/__init__.py,"def external_error_raised(expected_exception: type[Exception]) -> ContextManager:
    import pytest
    return pytest.raises(expected_exception, match=None)","""""""Helper function to mark pytest.raises that have an external error message.

Parameters
----------
expected_exception : Exception
    Expected error to raise.

Returns
-------
Callable
    Regular `pytest.raises` function with `match` equal to `None`."""""""
pandas/_testing/__init__.py,"def get_cython_table_params(ndframe, func_names_and_expected):
    results = []
    for (func_name, expected) in func_names_and_expected:
        results.append((ndframe, func_name, expected))
        results += [(ndframe, func, expected) for (func, name) in cython_table if name == func_name]
    return results","""""""Combine frame, functions from com._cython_table
keys and expected result.

Parameters
----------
ndframe : DataFrame or Series
func_names_and_expected : Sequence of two items
    The first item is a name of a NDFrame method ('sum', 'prod') etc.
    The second item is the expected return value.

Returns
-------
list
    List of three items (DataFrame, function, expected result)"""""""
pandas/_testing/__init__.py,"def get_op_from_name(op_name: str) -> Callable:
    short_opname = op_name.strip('_')
    try:
        op = getattr(operator, short_opname)
    except AttributeError:
        rop = getattr(operator, short_opname[1:])
        op = lambda x, y: rop(y, x)
    return op","""""""The operator function for a given op name.

Parameters
----------
op_name : str
    The op name, in form of ""add"" or ""__add__"".

Returns
-------
function
    A function performing the operation."""""""
pandas/_testing/__init__.py,"def shares_memory(left, right) -> bool:
    if isinstance(left, np.ndarray) and isinstance(right, np.ndarray):
        return np.shares_memory(left, right)
    elif isinstance(left, np.ndarray):
        return shares_memory(right, left)
    if isinstance(left, RangeIndex):
        return False
    if isinstance(left, MultiIndex):
        return shares_memory(left._codes, right)
    if isinstance(left, (Index, Series)):
        return shares_memory(left._values, right)
    if isinstance(left, NDArrayBackedExtensionArray):
        return shares_memory(left._ndarray, right)
    if isinstance(left, pd.core.arrays.SparseArray):
        return shares_memory(left.sp_values, right)
    if isinstance(left, pd.core.arrays.IntervalArray):
        return shares_memory(left._left, right) or shares_memory(left._right, right)
    if isinstance(left, ExtensionArray) and left.dtype == 'string[pyarrow]':
        left = cast('ArrowExtensionArray', left)
        if isinstance(right, ExtensionArray) and right.dtype == 'string[pyarrow]':
            right = cast('ArrowExtensionArray', right)
            left_pa_data = left._pa_array
            right_pa_data = right._pa_array
            left_buf1 = left_pa_data.chunk(0).buffers()[1]
            right_buf1 = right_pa_data.chunk(0).buffers()[1]
            return left_buf1 == right_buf1
    if isinstance(left, BaseMaskedArray) and isinstance(right, BaseMaskedArray):
        return np.shares_memory(left._data, right._data) or np.shares_memory(left._mask, right._mask)
    if isinstance(left, DataFrame) and len(left._mgr.arrays) == 1:
        arr = left._mgr.arrays[0]
        return shares_memory(arr, right)
    raise NotImplementedError(type(left), type(right))","""""""Pandas-compat for np.shares_memory."""""""
pandas/_testing/_io.py,"def round_trip_pickle(obj: Any, path: FilePath | ReadPickleBuffer | None=None) -> DataFrame | Series:
    _path = path
    if _path is None:
        _path = f'__{uuid.uuid4()}__.pickle'
    with ensure_clean(_path) as temp_path:
        pd.to_pickle(obj, temp_path)
        return pd.read_pickle(temp_path)","""""""Pickle an object and then read it again.

Parameters
----------
obj : any object
    The object to pickle and then re-read.
path : str, path object or file-like object, default None
    The path where the pickled object is written and then read.

Returns
-------
pandas object
    The original object that was pickled and then re-read."""""""
